in s,C1 in V
1.31E+00,-1.08E+00
1.31E+00,-1.04E+00
1.31E+00,-9.47E-01
1.31E+00,-1.20E+00
1.31E+00,-1.06E+00
1.31E+00,-9.67E-01
1.31E+00,-1.14E+00
1.31E+00,-1.01E+00
1.31E+00,-9.47E-01
1.31E+00,-1.06E+00
1.31E+00,-1.01E+00
1.31E+00,-1.03E+00
1.31E+00,-1.08E+00
1.31E+00,-1.06E+00
1.31E+00,-1.12E+00
1.31E+00,-1.03E+00
1.31E+00,-1.04E+00
1.31E+00,-1.22E+00
1.31E+00,-1.03E+00
1.31E+00,-1.06E+00
1.31E+00,-1.22E+00
1.31E+00,-1.10E+00
1.31E+00,-1.03E+00
1.31E+00,-1.16E+00
1.31E+00,-1.12E+00
1.31E+00,-1.03E+00
1.31E+00,-1.18E+00
1.31E+00,-1.08E+00
1.31E+00,-1.18E+00
1.31E+00,-1.12E+00
1.31E+00,-1.12E+00
1.31E+00,-1.28E+00
1.31E+00,-1.06E+00
1.31E+00,-1.04E+00
1.31E+00,-1.24E+00
1.31E+00,-1.14E+00
1.31E+00,-1.16E+00
1.31E+00,-1.24E+00
1.31E+00,-1.10E+00
1.31E+00,-1.14E+00
1.31E+00,-1.18E+00
1.31E+00,-1.12E+00
1.31E+00,-1.22E+00
1.31E+00,-1.20E+00
1.31E+00,-1.14E+00
1.31E+00,-1.26E+00
1.31E+00,-1.14E+00
1.31E+00,-1.18E+00
1.31E+00,-1.30E+00
1.31E+00,-1.18E+00
1.31E+00,-1.22E+00
1.31E+00,-1.46E+00
1.31E+00,-1.22E+00
1.31E+00,-1.22E+00
1.31E+00,-1.28E+00
1.31E+00,-1.14E+00
1.31E+00,-1.14E+00
1.31E+00,-1.36E+00
1.31E+00,-1.22E+00
1.31E+00,-1.32E+00
1.31E+00,-1.22E+00
1.31E+00,-1.16E+00
1.31E+00,-1.38E+00
1.31E+00,-1.22E+00
1.31E+00,-1.24E+00
1.31E+00,-1.24E+00
1.31E+00,-1.28E+00
1.31E+00,-1.20E+00
1.31E+00,-1.26E+00
1.31E+00,-1.22E+00
1.31E+00,-1.22E+00
1.31E+00,-1.22E+00
1.31E+00,-1.20E+00
1.31E+00,-1.44E+00
1.31E+00,-1.30E+00
1.31E+00,-1.26E+00
1.31E+00,-1.40E+00
1.31E+00,-1.32E+00
1.31E+00,-1.28E+00
1.31E+00,-1.36E+00
1.31E+00,-1.24E+00
1.31E+00,-1.28E+00
1.31E+00,-1.30E+00
1.31E+00,-1.36E+00
1.31E+00,-1.34E+00
1.31E+00,-1.36E+00
1.31E+00,-1.28E+00
1.31E+00,-1.49E+00
1.31E+00,-1.26E+00
1.31E+00,-1.24E+00
1.31E+00,-1.47E+00
1.31E+00,-1.34E+00
1.31E+00,-1.34E+00
1.31E+00,-1.44E+00
1.31E+00,-1.30E+00
1.31E+00,-1.36E+00
1.31E+00,-1.38E+00
1.31E+00,-1.36E+00
1.31E+00,-1.42E+00
1.31E+00,-1.30E+00
1.31E+00,-1.36E+00
1.31E+00,-1.59E+00
1.31E+00,-1.36E+00
1.31E+00,-1.36E+00
1.31E+00,-1.51E+00
1.31E+00,-1.38E+00
1.31E+00,-1.38E+00
1.31E+00,-1.51E+00
1.31E+00,-1.36E+00
1.31E+00,-1.36E+00
1.31E+00,-1.44E+00
1.31E+00,-1.36E+00
1.31E+00,-1.47E+00
1.31E+00,-1.40E+00
1.31E+00,-1.30E+00
1.31E+00,-1.65E+00
1.31E+00,-1.38E+00
1.31E+00,-1.40E+00
1.31E+00,-1.59E+00
1.31E+00,-1.44E+00
1.31E+00,-1.38E+00
1.31E+00,-1.36E+00
1.31E+00,-1.44E+00
1.31E+00,-1.44E+00
1.31E+00,-1.51E+00
1.31E+00,-1.44E+00
1.31E+00,-1.47E+00
1.31E+00,-1.53E+00
1.31E+00,-1.46E+00
1.31E+00,-1.73E+00
1.31E+00,-1.44E+00
1.31E+00,-1.46E+00
1.31E+00,-1.69E+00
1.31E+00,-1.47E+00
1.31E+00,-1.46E+00
1.31E+00,-1.59E+00
1.31E+00,-1.51E+00
1.31E+00,-1.40E+00
1.31E+00,-1.61E+00
1.31E+00,-1.55E+00
1.31E+00,-1.57E+00
1.31E+00,-1.57E+00
1.31E+00,-1.49E+00
1.31E+00,-1.67E+00
1.31E+00,-1.49E+00
1.31E+00,-1.55E+00
1.31E+00,-1.69E+00
1.31E+00,-1.51E+00
1.31E+00,-1.55E+00
1.31E+00,-1.63E+00
1.31E+00,-1.51E+00
1.31E+00,-1.55E+00
1.31E+00,-1.59E+00
1.31E+00,-1.53E+00
1.31E+00,-1.71E+00
1.31E+00,-1.57E+00
1.31E+00,-1.61E+00
1.31E+00,-1.77E+00
1.31E+00,-1.65E+00
1.31E+00,-1.57E+00
1.31E+00,-1.73E+00
1.31E+00,-1.61E+00
1.31E+00,-1.63E+00
1.31E+00,-1.63E+00
1.31E+00,-1.57E+00
1.31E+00,-1.59E+00
1.31E+00,-1.65E+00
1.31E+00,-1.63E+00
1.31E+00,-1.65E+00
1.31E+00,-1.59E+00
1.31E+00,-1.57E+00
1.31E+00,-1.85E+00
1.31E+00,-1.65E+00
